Ref,Val,Package,PosX,PosY,Rot,Side
"R26,""5.1k"",""R_0805_2012Metric"",-3.850000,-27.450000,-90.000000,top"
"R27,""10k"",""R_0805_2012Metric"",-39.350000,-5.625000,-90.000000,top"
"R28,""100k"",""R_0805_2012Metric"",-6.550000,-27.450000,90.000000,top"
"R29,""10k (getestet)"",""R_0805_2012Metric"",8.900000,-18.100000,0.000000,top"
"R30,""10k"",""R_0805_2012Metric"",35.000000,-18.500000,180.000000,top"
"R31,""10k"",""R_0402_1005Metric"",31.200000,-15.200000,0.000000,top"
"R32,""10k"",""R_0805_2012Metric"",-39.350000,-2.200000,90.000000,top"
"R33,""120k 1%"",""R_0805_2012Metric"",-0.200000,22.650000,-90.000000,top"
"R34,""27k 1%"",""R_0805_2012Metric"",1.800000,22.650000,90.000000,top"
"R36,""10k"",""R_0805_2012Metric"",-41.325000,-5.625000,90.000000,top"
"SW10,""BTN_ST"",""SW_SPST_TL3342"",59.475000,-27.000000,180.000000,top"
"SW11,""BTN_SEL"",""SW_SPST_TL3342"",49.475000,-27.000000,180.000000,top"
"U2,""sdb628"",""SOT-23-6_Handsoldering"",3.900000,29.225000,-90.000000,top"
"U3,""NS4168"",""SOP-8_3.76x4.96mm_P1.27mm"",16.250000,-16.400000,-90.000000,top"
"U5,""TLV62569PDDCR"",""SOT95P280X110-6N"",4.977500,22.150000,180.000000,top"
"U6,""AO3402"",""SOT-23-3"",35.000000,-15.400000,90.000000,top"
"U8,""TP4054"",""SOT-23-5_HandSoldering"",7.850000,9.837500,-90.000000,top"
"U9,""RP2350B"",""RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias"",21.400000,6.900000,180.000000,top"
"U11,""W25Q128JVS"",""SOIC-8_5.23x5.23mm_P1.27mm"",28.400000,-5.745000,180.000000,top"
"U12,""APS6404L-3SQR"",""SOIC-8_5.23x5.23mm_P1.27mm"",28.400000,-11.600000,180.000000,top"
"Y1,""ABM8-272-T3"",""Crystal_SMD_3225-4Pin_3.2x2.5mm"",21.450000,20.900000,180.000000,top"
